age,screen_time,social_media,gaming,short_video,phone_unlocks,notifications,night_usage,sleep,focus_time,exercise,stress,productivity,entertainment_hours,total_recreational_screen_time,night_usage_ratio,focus_to_screen_ratio,sleep_deficit_indicator,usage_intensity,risk_level,wellbeing_score
22,13.2,5.1,5.8,4.3,187,176,0.1,7.6,4.2,32,2,4,10.1,15.2,0.008,0.318,0.0,204.6,Moderate,59.1
35,4.4,1.9,5.2,5.5,102,181,0.2,7.0,4.2,18,2,8,10.7,12.6,0.045,0.955,0.5,120.1,Low,83.9
44,4.4,5.7,3.6,2.4,21,233,3.4,3.2,0.6,106,4,9,6.0,11.7,0.773,0.136,4.3,44.3,Moderate,69.2
30,9.1,0.7,4.2,1.1,112,45,4.2,4.4,4.1,110,1,4,5.3,6.0,0.462,0.451,3.1,116.5,Moderate,64.8
26,9.9,1.6,1.7,3.1,184,311,3.5,4.9,6.6,15,7,6,4.8,6.4,0.354,0.667,2.6,215.1,Moderate,56.5
23,9.7,7.0,3.8,5.4,121,208,2.0,3.5,7.6,98,1,4,9.2,16.2,0.206,0.784,4.0,141.8,Moderate,62.4
44,2.4,5.9,2.7,4.8,74,141,0.2,5.5,0.9,10,3,4,7.5,13.4,0.083,0.375,2.0,88.1,High,63.2
36,14.2,0.1,2.9,0.4,164,249,4.8,3.2,5.0,74,10,9,3.3,3.4,0.338,0.352,4.3,188.9,Moderate,48.3
22,5.0,2.0,4.5,4.2,57,78,4.9,6.9,4.5,73,7,4,8.7,10.7,0.98,0.9,0.6,64.8,Low,72.2
41,2.9,1.7,1.7,3.4,97,115,2.7,4.5,7.1,97,6,6,5.1,6.8,0.931,1.0,3.0,108.5,Low,79.2
34,14.3,2.2,1.9,5.4,71,281,0.4,5.0,6.0,115,7,9,7.3,9.5,0.028,0.42,2.5,99.1,Moderate,71.7
38,15.3,2.0,5.5,0.7,53,331,2.7,9.4,7.7,68,5,3,6.2,8.2,0.176,0.503,0.0,86.1,Moderate,69.0
26,13.9,0.5,0.3,3.2,156,155,4.5,6.5,7.7,86,8,7,3.5,4.0,0.324,0.554,1.0,171.5,Moderate,59.4
26,13.1,3.7,2.9,5.3,196,302,3.4,4.9,1.8,54,6,7,8.2,11.9,0.26,0.137,2.6,226.2,Moderate,49.7
39,10.8,5.9,5.5,2.5,145,139,3.6,7.2,5.8,24,4,1,8.0,13.9,0.333,0.537,0.3,158.9,High,55.1
36,9.3,4.9,3.7,2.9,64,44,0.4,4.4,4.2,92,1,2,6.6,11.5,0.043,0.452,3.1,68.4,Moderate,66.2
19,2.3,5.4,3.3,0.4,117,165,0.5,3.5,1.7,103,2,5,3.7,9.1,0.217,0.739,4.0,133.5,Moderate,68.5
